,APINumber,WellName,CountyName,OperatorName,StateName,TotalBaseNonWaterVolume
8076,42107319280000,Clark Wood Ranch M141,Crosby,"Juno Operating Company II, LLC",Texas,1929.0
8077,42107318990000,Clark Wood Ranch F551,Crosby,"Juno Operating Company II, LLC",Texas,1929.0
8078,30015401830000,Burch Keely Unit 637,Eddy,COG Operating LLC,New Mexico,7452.0
8079,34019221260000,LOZIER 14-15-5 1H,Carroll,"Chesapeake Operating, Inc.",Ohio,851197.0
8080,37115215060000,ODOWD N SUS 4H,Susquehanna,"Chesapeake Operating, Inc.",Pennsylvania,597169.0
8081,42127362450000,LAZY A COTULLA N 3H,Dimmit,"Chesapeake Operating, Inc.",Texas,343344.0
8082,42165381610000,Duke #8,Gaines,"Sheridan Production Company, LLC",Texas,482242.0
8083,42225311820000,Jeanette #101,Houston,"Energy & Exploration Partners Operating, LP",Texas,20753.0
8084,42283345330000,COOK UNIT B LAS 1H,La Salle,"Chesapeake Operating, Inc.",Texas,305233.0
8085,42283345390000,COOK UNIT B LAS 2H,La Salle,"Chesapeake Operating, Inc.",Texas,312631.0
8086,42479425760000,FAITH-YANA-N8H,Webb,"Chesapeake Operating, Inc.",Texas,288513.0
8087,30015337410000,Kurgan State #001,Eddy,"Nadel and Gussman Permian, LLC",New Mexico,4754.0
8088,33105034550000,P Wood 154-98-16-23-14-2H3,Williams,Whiting Petroleum,North Dakota,39455.0
8089,35151241790000,BC ELMORE 27-28-14 1H,Woods,"Chesapeake Operating, Inc.",Oklahoma,35183.0
8090,37115217180000,Choconut Valley (07-090-03),Susquehanna,Talisman Energy USA Inc.,Pennsylvania,24000.0
8091,37115217190000,Choconut Valley (07-090-04),Susquehanna,Talisman Energy USA Inc.,Pennsylvania,47900.0
8092,37125271560000,FRED JONES WAS 8H,Washington,"Chesapeake Operating, Inc.",Pennsylvania,677405.0
8093,42225311870000,Jeanette #102,Houston,"Energy & Exploration Partners Operating, LP",Texas,33687.0
8094,42311356780000,PRINCE MCM K 5H,McMullen,"Chesapeake Operating, Inc.",Texas,495271.0
8095,42479425800000,FAITH-YANA-N7H,Webb,"Chesapeake Operating, Inc.",Texas,350740.0
8096,47017064330000,Downs Unit 1H,Doddridge,Antero Resources Corporation,West Virginia,543356.0
8097,17031261290000,CHK MIN 2&11-13-12 1H ALT,De Soto,"Chesapeake Operating, Inc.",Louisiana,362346.0
8098,33061029330000,Knife River State Federal 13-32TFH,Mountrail,Whiting Petroleum,North Dakota,5250.0
8099,35073249630000,Musick 4-11H,Kingfisher,"Hinkle Oil & Gas, Inc.",Oklahoma,185514.0
8100,35123238530000,EFU #14A2-B3,Pontotoc,Citation Oil and Gas Corp.,Oklahoma,69006.0
8101,42417394820000,Grace Leech #1,Shackelford,Midville Energy,Texas,270.0
8102,42475328280000,H.S.A. 1269R,Ward,Whiting Petroleum,Texas,1487.0
8103,42135088740000,GSAU 336,Ector,XTO Energy/ExxonMobil,Texas,2902.0
8104,42135006900000,GSAU 280,Ector,XTO Energy/ExxonMobil,Texas,2873.0
8105,4030454390000,238-8H,Kern - 30,Occidental Oil and Gas,California,50148.0
8108,33061028900000,Knife River State Federal 13-32H,Mountrail,Whiting Petroleum,North Dakota,9000.0
8109,42003463680000,University 13-39 #4,Andrews,SandRidge Energy,Texas,74714.0
8110,42003464550000,University 13-35 #29,Andrews,SandRidge Energy,Texas,73773.0
8111,42173366830000,Calverley 26-1A,Glasscock,"RSP Permian, LLC",Texas,818788.0
8112,42255337640000,Ruckman Ranch 17,Karnes,ConocoPhillips Company/Burlington Resources,Texas,57200.0
8113,42295341760000,WEIDNER OTTO-BRIGHAM -795- 3H,Lipscomb,MEWBOURNE OIL COMPANY,Texas,397013.061
8114,42329393750000,Lillie Midkiff 5 #1AH,Midland,XTO Energy/ExxonMobil,Texas,25429.0
8115,42389343540000,SIEBER TRUST - # 3H,Reeves,"Centennial Resource Production, LLC",Texas,355246.0
8116,42393326310000,Hodges `42` 4HM,Roberts,MEWBOURNE OIL COMPANY,Texas,388905.891
8118,42475111390000,H.S.A. 757R,Ward,Whiting Petroleum,Texas,1086.0
8119,42475020480000,H.S.A. 149,Ward,Whiting Petroleum,Texas,1237.0
8120,42475101400000,H.S.A. 53R,Ward,Whiting Petroleum,Texas,1569.0
8121,42461395650000,McElroy Ranch B 1913WB,Upton,XTO Energy/ExxonMobil,Texas,76243.0
8122,42475367860000,H.S.A. 3062,Ward,Sundown Energy L.P.,Texas,71345.0
8123,35007256900000,Hobble 1-12H,Beaver,Williford Energy Company,Oklahoma,736024.0
8124,35045233200000,OK WILDLIFE 12-16-23 1H,Ellis,"Chesapeake Operating, Inc.",Oklahoma,175530.0
8125,35151241680000,DEWAYNE 12-28-18 1H,Woods,"Chesapeake Operating, Inc.",Oklahoma,35053.0
8127,42003467400000,University 47A #29,Andrews,SandRidge Energy,Texas,74952.0
8128,42003467710000,JT Lindley #30,Andrews,SandRidge Energy,Texas,73863.0
8129,42103364180000,University 45#1,Crane,Apache Corporation,Texas,25182.0
8131,42227381530000,East Donelson 4233,Howard,Three Rivers Operating Co II LLC,Texas,55290.0
8132,42255337710000,Ruckman Ranch 18,Karnes,ConocoPhillips Company/Burlington Resources,Texas,52800.0
8133,42283346900000,KINSEL LAS C 3H,La Salle,"Chesapeake Operating, Inc.",Texas,36680.0
8134,42439368960000,TRWD BEND 3H,Tarrant,"Chesapeake Operating, Inc.",Texas,225213.0
8136,42003465400000,FCU 5431,Andrews,XTO Energy/ExxonMobil,Texas,32116.0
8137,42003464120000,Andrews University 41-32 #14,Andrews,"Clayton Williams Energy, Inc.",Texas,714087.193734
8138,42329394430000,Davidson 36C-7,Midland,Athlon Energy Operating LLC,Texas,605341.93008
8139,42103363650000,Waddell A 2047,Crane,ConocoPhillips Company/Burlington Resources,Texas,31174.0
8140,42475367930000,Lost Frog 15,Ward,Seaboard Operating Co.,Texas,20370.0
8141,42107319020000,Clark Wood Ranch F560,Crosby,"Juno Operating Company II, LLC",Texas,1961.0
8142,42135431010000,Parker Ranchland 21 #5,Ector,"ICA Energy Operating, LLC",Texas,10045.0
8143,35047248420000,OTTERHOUND - # 4-8H,Garfield,"Atlas Energy, L.P.",Oklahoma,275524.0
8144,42501364820000,Cornell Unit 3095,Yoakum,XTO Energy/ExxonMobil,Texas,16188.0
8145,42107316400000,Clark Wood Ranch 3560,Crosby,"Juno Operating Company II, LLC",Texas,2515.0
8146,35047248720000,OTTERHOUND - # 5-8H,Garfield,"Atlas Energy, L.P.",Oklahoma,284701.0
8147,42461394660000,Nancy 2615,Upton,Summit Petroleum LLC,Texas,57514.0
8148,42501364650000,Cornell Unit 3096,Yoakum,XTO Energy/ExxonMobil,Texas,15864.0
8150,35151241330000,BOUZIDEN 24-28-14 2H,Woods,"Chesapeake Operating, Inc.",Oklahoma,36114.0
8152,42507331050000,Traylor Unit ZAV N #2H,Zavala,"EXCO Resources, Inc.",Texas,37860.0
8153,47017063690000,Caswell Unit 1H,Doddridge,Antero Resources Corporation,West Virginia,597967.0
8154,35051238330000,George 1-17H,Grady,"Continental Resources, Inc",Oklahoma,99449.0
8156,42335009750000,Section 82 #12,Mitchell,"Southwest Royalties, Inc.",Texas,1432.0
8157,42475367870000,H.S.A. 3020,Ward,Sundown Energy L.P.,Texas,82567.0
8158,42103352580000,Cordona Lake CU 155,Crane,XTO Energy/ExxonMobil,Texas,8914.0
8159,33013016870000,Maruskie 159-94-3B-10-1H,Burke,"Petro Hunt, L.L.C.",North Dakota,419711.0
8160,35045235040000,CD FARRIS 34-20-25 1H,Ellis,"Chesapeake Operating, Inc.",Oklahoma,141348.0
8161,35083233990000,Burrows #1,Logan,"GLB Exploration, Inc.",Oklahoma,190250.0
8162,35109224100000,DEER DRAW  21-4 CH,Oklahoma,Gastar Exploration Inc.,Oklahoma,30000.0
8163,35113426680000,JUDITH - # 1-16,Osage,Nadel and Gussman,Oklahoma,2651.0
